298,52:26.442N,001:02.818W,505F,ATH,HUS,Hus Bos*Z100
850,52:30.925N,001:01.360W,0F,T,HBN,Hus Bos North*Z50
851,52:23.800N,001:01.900W,0F,T,HBS,Hus Bos South*Z50
852,52:25.636N,000:57.100W,0F,T,HBE,Hus Bos East*Z50
853,52:25.060N,001:07.480W,0F,T,HBW,Hus Bos West*Z50
299,50:55.798N,002:56.799W,0F,T,ILM,Ilminster*Z50
300,51:31.503N,001:17.455W,0F,T,ILS,Ilsley*Z50
301,54:08.973N,002:28.659W,0F,T,ING,Ingleton*Z50
302,52:37.781N,002:30.793W,0F,T,IRO,Ironbridge*Z50
303,55:30.345N,002:34.338W,0F,T,JED,Jedburgh*Z50
304,51:18.956N,002:06.515W,200F,AT,KEE,Keevil*Z100
305,55:35.706N,002:26.000W,0F,T,KEL,Kelso*Z50
306,51:18.192N,000:05.713W,566F,AT,KEN,Kenley*Z100
307,52:22.793N,000:43.116W,0F,T,KET,Kettering*Z50
308,52:22.336N,000:42.847W,0F,T,KES,Kettering South*Z50
309,52:24.611N,002:15.081W,0F,T,KID,Kidderminster*Z50
310,55:13.994N,002:35.263W,0F,T,KCA,Kielder Castle*Z50
311,55:10.705N,002:27.621W,0F,T,KIE,Kielder Reservoir*Z50
312,52:09.387N,001:30.599W,0F,T,KIN,Kineton*Z50
313,52:44.376N,000:23.119E,0F,T,KLY,King'S Lynn*Z50
314,51:54.098N,001:37.664W,0F,T,KIM,Kingham*Z50
315,51:19.786N,001:15.018W,0F,T,KGS,Kingsclere*Z50
316,51:41.120N,001:24.743W,0F,T,KSB,Kingston Bagpuize*Z50
317,55:08.223N,001:58.088W,0F,T,KIK,Kirkharle*Z50
318,53:27.955N,000:34.768W,203F,AT,KIR,Kirton-In-Lindsey*Z100
319,54:00.554N,001:28.229W,0F,T,KNA,Knaresborough*Z50
320,52:20.637N,003:02.936W,0F,T,KNI,Knighton*Z50
321,54:49.311N,001:42.956W,0F,T,LCH,Lanchester*Z50
322,52:56.325N,000:57.487E,120F,AT,LAN,Langham*Z100
323,51:02.471N,002:49.181W,0F,T,LAG,Langport*Z50
324,51:12.551N,001:03.076W,0F,T,LA6,Lasham Start N*Z50
325,51:11.098N,001:06.360W,0F,T,LA5,Lasham Start W*Z50
326,51:11.359N,001:01.899W,618F,AT,LAS,Lasham C/H*Z100
327,51:09.832N,000:59.906W,0F,T,LA1,Lasham Start SE*Z50
328,51:10.179N,001:02.644W,0F,T,LA4,Lasham Start S*Z50
329,51:10.692N,001:02.033W,0F,T,LA3,Lasham Church*Z50
330,51:11.656N,001:00.639W,0F,T,LA2,Lasham Start East*Z50
331,50:37.788N,004:21.031W,0F,T,LAU,Launceston*Z50
332,52:06.387N,000:47.484E,0F,T,LVN,Lavenham*Z50
333,53:03.421N,000:34.960W,0F,T,LEH,Leadenham*Z50
334,52:02.657N,002:26.155W,0F,T,LED,Ledbury*Z50
335,50:48.747N,001:12.732W,32F,AT,LEE,Lee-On-Solent*Z100
336,52:32.155N,001:10.780W,0F,T,LES,Leicester South*Z50
337,52:41.946N,001:05.038W,0F,T,LEN,Leicester North*Z50
338,52:37.123N,001:12.353W,0F,T,LEI,Leicester M1 Services*Z50
339,51:54.078N,000:38.912W,0F,T,LEZ,Leighton Buzzard*Z50
340,52:43.238N,001:06.650E,0F,T,LNW,Lenwade*Z50
341,52:13.896N,002:44.002W,0F,T,LEO,Leominster*Z50
342,50:54.218N,000:00.558W,65F,AT,LEW,Lewes 129.72*Z100
343,54:18.492N,001:49.458W,0F,T,LEY,Leyburn*Z50
344,53:11.493N,000:37.496W,0F,T,LSW,Lincoln Southwest*Z50
345,53:13.579N,000:32.378W,0F,AT,LIN,Lincoln*Z100
346,51:05.089N,000:48.383W,0F,T,LIP,Liphook*Z50
347,51:03.579N,000:53.987W,0F,T,LSS,Liss*Z50
348,51:52.178N,001:41.680W,730F,AT,LRI,Little Rissington*Z100
349,52:27.895N,000:19.293E,0F,T,LIT,Littleport*Z50
350,51:59.747N,003:48.120W,0F,T,LLD,Llandovery*Z50
351,52:16.492N,003:20.233W,0F,T,LLW,Llandrindod Wells*Z50
352,52:38.951N,003:19.577W,0F,T,LLC,Llanfair Caereinion*Z50
353,52:46.151N,003:17.208W,0F,T,LFN,Llanfyllin*Z50
354,52:58.312N,003:10.206W,0F,T,LLA,Llangollen*Z50
355,53:12.680N,003:23.500W,200F,AT,LLE,Lleweni Parc*Z100
356,51:09.999N,002:11.351W,0F,T,LBD,Longbridge Deverill*Z50
357,51:11.090N,002:16.343W,0F,T,LON,Longleat*Z50
358,53:21.859N,000:02.039W,0F,T,LOU,Louth*Z50
359,52:22.056N,002:43.424W,0F,T,LUD,Ludlow*Z50
360,52:26.987N,001:11.502W,0F,T,LUT,Lutterworth*Z50
361,52:27.949N,000:35.008W,279F,AT,LYV,Lyveden*Z100
362,51:19.362N,000:30.393E,0F,T,MDN,Maidstone North*Z50
363,51:14.979N,000:37.825E,0F,T,MAI,Maidstone East*Z50
364,51:35.449N,002:05.341W,0F,T,MAM,Malmesbury*Z50
365,54:07.904N,000:47.760W,0F,T,MAL,Malton*Z50
366,52:38.185N,000:42.294W,0F,T,MAN,Manton*Z50
367,52:33.308N,000:06.196E,0F,T,MCH,March *Z50
369,52:38.622N,000:32.367E,75F,AT,MRM,Marham*Z100
370,52:28.733N,000:54.588W,0F,T,MAH,Market Harborough*Z50
371,53:52.435N,000:41.954W,0F,T,MAW,Market Weighton*Z50
372,51:24.978N,001:43.975W,0F,T,MAR,Marlborough*Z50
373,54:13.574N,001:39.309W,0F,T,MAS,Masham*Z50
374,53:08.300N,001:33.342W,0F,T,MAT,Matlock*Z50
375,52:41.335N,001:32.897W,0F,T,MEA,Measham*Z50
376,51:22.746N,002:08.705W,0F,AT,MEL,Melksham*Z100
377,52:48.068N,000:48.035W,0F,T,MTM,Melton Mast*Z50
378,52:45.656N,000:52.983W,0F,T,MET,Melton Mowbray*Z50
